nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
"How does the weight distribution of dogs, specifically those weighing more than 5 kg, vary across different breeds, with age represented by point size, and sorted by weight in descending order?",add,bubble plot,Dogs,dog_kennels,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'transform': [{'filter': 'datum.weight > 5'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/dog_kennels_Dogs.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'weight', 'type': 'quantitative', 'title': 'Weight (kg)', 'sort': '-x'}, 'y': {'field': 'breed_code', 'type': 'nominal', 'title': 'Breed Code'}, 'size': {'field': 'age', 'type': 'quantitative', 'title': 'Age (years)'}}}","weight,breed_code,age",weight > 5,none,point,"x=weight,y=breed_code,color=none,size=age",x desc
"In a scatter plot, how is 'Weight (kg)' mapped to the x-axis in descending order for dogs weighing more than 5 kg, with 'Breed Code' on the y-axis and 'Age (years)' as point size?",add,bubble plot,Dogs,dog_kennels,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'transform': [{'filter': 'datum.weight > 5'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/dog_kennels_Dogs.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'weight', 'type': 'quantitative', 'title': 'Weight (kg)', 'sort': '-x'}, 'y': {'field': 'breed_code', 'type': 'nominal', 'title': 'Breed Code'}, 'size': {'field': 'age', 'type': 'quantitative', 'title': 'Age (years)'}}}","weight,breed_code,age",weight > 5,none,point,"x=weight,y=breed_code,color=none,size=age",x desc
"How is 'Weight (kg)' mapped to the x-axis in a scatter plot for dogs weighing more than 5 kg, sorted by weight in descending order, with 'Breed Code' on the y-axis and 'Age (years)' as point size?",add,bubble plot,Dogs,dog_kennels,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'transform': [{'filter': 'datum.weight > 5'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/dog_kennels_Dogs.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'weight', 'type': 'quantitative', 'title': 'Weight (kg)', 'sort': '-x'}, 'y': {'field': 'breed_code', 'type': 'nominal', 'title': 'Breed Code'}, 'size': {'field': 'age', 'type': 'quantitative', 'title': 'Age (years)'}}}","weight,breed_code,age",weight > 5,none,point,"x=weight,y=breed_code,color=none,size=age",x desc
"How are 'Sales (in billions)', 'Profits (in billions)', 'Market Value (in billions)', and 'Main Industry' visually represented in a bubble plot, with sales sorted in descending order?",add,bubble plot,company,gas_company,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of gas companies showing sales, profits, and market value', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/gas_company_company.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Sales_billion', 'type': 'quantitative', 'title': 'Sales (in billions)', 'sort': '-x'}, 'y': {'field': 'Profits_billion', 'type': 'quantitative', 'title': 'Profits (in billions)'}, 'size': {'field': 'Market_Value', 'type': 'quantitative', 'title': 'Market Value (in billions)'}, 'color': {'field': 'Main_Industry', 'type': 'nominal', 'title': 'Main Industry'}}}","Sales_billion,Profits_billion,Market_Value,Main_Industry",none,none,point,"x=Sales_billion,y=Profits_billion,color=Main_Industry,size=Market_Value",x desc
"Visualize the 'Sales (in billions)', 'Profits (in billions)', 'Market Value (in billions)', and 'Main Industry' of gas companies in a bubble plot, sorted by 'Sales (in billions)' in descending order.",add,bubble plot,company,gas_company,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of gas companies showing sales, profits, and market value', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/gas_company_company.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Sales_billion', 'type': 'quantitative', 'title': 'Sales (in billions)', 'sort': '-x'}, 'y': {'field': 'Profits_billion', 'type': 'quantitative', 'title': 'Profits (in billions)'}, 'size': {'field': 'Market_Value', 'type': 'quantitative', 'title': 'Market Value (in billions)'}, 'color': {'field': 'Main_Industry', 'type': 'nominal', 'title': 'Main Industry'}}}","Sales_billion,Profits_billion,Market_Value,Main_Industry",none,none,point,"x=Sales_billion,y=Profits_billion,color=Main_Industry,size=Market_Value",x desc
"How are 'Sales (in billions)', 'Profits (in billions)', 'Market Value (in billions)', and 'Main Industry' visually represented in a bubble plot, sorted by 'Sales (in billions)' in descending order?",add,bubble plot,company,gas_company,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of gas companies showing sales, profits, and market value', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/gas_company_company.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Sales_billion', 'type': 'quantitative', 'title': 'Sales (in billions)', 'sort': '-x'}, 'y': {'field': 'Profits_billion', 'type': 'quantitative', 'title': 'Profits (in billions)'}, 'size': {'field': 'Market_Value', 'type': 'quantitative', 'title': 'Market Value (in billions)'}, 'color': {'field': 'Main_Industry', 'type': 'nominal', 'title': 'Main Industry'}}}","Sales_billion,Profits_billion,Market_Value,Main_Industry",none,none,point,"x=Sales_billion,y=Profits_billion,color=Main_Industry,size=Market_Value",x desc
Examine the correlation between 'Hire Date' and 'Salary' (ranging from 8000 to 12000) with 'Commission Percentage' (excluding null values) using a bubble plot.,add,bubble plot,employees,hr_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of employee salary against hire date, sized by commission percentage', 'transform': [{'filter': 'datum.SALARY > 8000 && datum.SALARY < 12000 && datum.COMMISSION_PCT != null'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/hr_1_employees.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'HIRE_DATE', 'type': 'temporal', 'timeUnit': 'yearmonthdate'}, 'y': {'field': 'SALARY', 'type': 'quantitative', 'scale': {'zero': False}}, 'size': {'field': 'COMMISSION_PCT', 'type': 'quantitative'}}}","HIRE_DATE,SALARY,COMMISSION_PCT",SALARY >= 8000 and SALARY <= 12000 and COMMISSION_PCT != null,none,point,"x=HIRE_DATE,y=SALARY,color=none,size=COMMISSION_PCT",none
How does the 'Hire Date' correlate with 'Salary' and 'Commission Percentage' for employees with salaries between 8000 and 12000 in a bubble plot?,add,bubble plot,employees,hr_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of employee salary against hire date, sized by commission percentage', 'transform': [{'filter': 'datum.SALARY > 8000 && datum.SALARY < 12000 && datum.COMMISSION_PCT != null'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/hr_1_employees.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'HIRE_DATE', 'type': 'temporal', 'timeUnit': 'yearmonthdate'}, 'y': {'field': 'SALARY', 'type': 'quantitative', 'scale': {'zero': False}}, 'size': {'field': 'COMMISSION_PCT', 'type': 'quantitative'}}}","HIRE_DATE,SALARY,COMMISSION_PCT",SALARY >= 8000 and SALARY <= 12000 and COMMISSION_PCT != null,none,point,"x=HIRE_DATE,y=SALARY,color=none,size=COMMISSION_PCT",none
"Examine the correlation between 'Hire Date' and 'Salary' for employees with salaries between 8000 and 12000, highlighting the impact of 'Commission Percentage' in a bubble plot.",add,bubble plot,employees,hr_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of employee salary against hire date, sized by commission percentage', 'transform': [{'filter': 'datum.SALARY > 8000 && datum.SALARY < 12000 && datum.COMMISSION_PCT != null'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/hr_1_employees.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'HIRE_DATE', 'type': 'temporal', 'timeUnit': 'yearmonthdate'}, 'y': {'field': 'SALARY', 'type': 'quantitative', 'scale': {'zero': False}}, 'size': {'field': 'COMMISSION_PCT', 'type': 'quantitative'}}}","HIRE_DATE,SALARY,COMMISSION_PCT",SALARY >= 8000 and SALARY <= 12000 and COMMISSION_PCT != null,none,point,"x=HIRE_DATE,y=SALARY,color=none,size=COMMISSION_PCT",none
How does the relationship between 'Account Balance' (sorted in descending order) and 'Credit Score' (sorted in ascending order) vary with the 'Number of Loans' represented by bubble size in a bubble plot?,add,bubble plot,customer,loan_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot showing account balance vs. credit score with bubble size representing number of loans', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/loan_1_customer.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'acc_bal', 'type': 'quantitative', 'title': 'Account Balance', 'sort': '-x'}, 'y': {'field': 'credit_score', 'type': 'quantitative', 'title': 'Credit Score', 'sort': 'y'}, 'size': {'field': 'no_of_loans', 'type': 'quantitative', 'title': 'Number of Loans'}}}","acc_bal,credit_score,no_of_loans",none,none,point,"x=acc_bal,y=credit_score,color=none,size=no_of_loans","x desc,y asc"
"Display a bubble plot where account balances are sorted in descending order on the x-axis, credit scores are sorted in ascending order on the y-axis, and the size of the bubbles represents the number of loans.",add,bubble plot,customer,loan_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot showing account balance vs. credit score with bubble size representing number of loans', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/loan_1_customer.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'acc_bal', 'type': 'quantitative', 'title': 'Account Balance', 'sort': '-x'}, 'y': {'field': 'credit_score', 'type': 'quantitative', 'title': 'Credit Score', 'sort': 'y'}, 'size': {'field': 'no_of_loans', 'type': 'quantitative', 'title': 'Number of Loans'}}}","acc_bal,credit_score,no_of_loans",none,none,point,"x=acc_bal,y=credit_score,color=none,size=no_of_loans","x desc,y asc"
"How is the bubble plot chart structured with 'Weight (kg)' on the x-axis sorted in descending order, 'Pet Type' on the y-axis, and 'Age (years)' as the point size?",add,bubble plot,pets,pets_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': ""A bubble plot chart showing the relationship between pet age and weight, with the size of the bubble representing the pet's age and color representing the pet type."", 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/pets_1_pets.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'weight', 'type': 'quantitative', 'title': 'Weight (kg)', 'sort': '-x'}, 'y': {'field': 'PetType', 'type': 'nominal', 'title': 'Pet Type'}, 'size': {'field': 'pet_age', 'type': 'quantitative', 'title': 'Age (years)'}}}","weight,PetType,pet_age",none,none,point,"x=weight,y=PetType,color=none,size=pet_age",x desc
"How does the bubble plot chart display the relationship between 'Weight (kg)' sorted in descending order on the x-axis, 'Pet Type' on the y-axis, and 'Age (years)' represented by the point size?",add,bubble plot,pets,pets_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': ""A bubble plot chart showing the relationship between pet age and weight, with the size of the bubble representing the pet's age and color representing the pet type."", 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/pets_1_pets.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'weight', 'type': 'quantitative', 'title': 'Weight (kg)', 'sort': '-x'}, 'y': {'field': 'PetType', 'type': 'nominal', 'title': 'Pet Type'}, 'size': {'field': 'pet_age', 'type': 'quantitative', 'title': 'Age (years)'}}}","weight,PetType,pet_age",none,none,point,"x=weight,y=PetType,color=none,size=pet_age",x desc
"How does the bubble plot chart display the relationship between the length and height of products, with the size of each point representing the price in dollars, sorted by length in descending order?",add,bubble plot,Catalog_Contents,product_catalog,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A bubble plot chart showing the relationship between product price and dimensions.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/product_catalog_Catalog_Contents.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'length', 'type': 'quantitative', 'title': 'Length of the Product', 'sort': '-x'}, 'y': {'field': 'height', 'type': 'quantitative', 'title': 'Height of the Product'}, 'size': {'field': 'price_in_dollars', 'type': 'quantitative', 'title': 'Price in Dollars'}}}","length,height,price_in_dollars",none,none,point,"x=length,y=height,color=none,size=price_in_dollars",x desc
"How does the bubble plot chart display the relationship between the Length of the Product (sorted in descending order), Height of the Product, and Price in Dollars as the point size?",add,bubble plot,Catalog_Contents,product_catalog,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A bubble plot chart showing the relationship between product price and dimensions.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/product_catalog_Catalog_Contents.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'length', 'type': 'quantitative', 'title': 'Length of the Product', 'sort': '-x'}, 'y': {'field': 'height', 'type': 'quantitative', 'title': 'Height of the Product'}, 'size': {'field': 'price_in_dollars', 'type': 'quantitative', 'title': 'Price in Dollars'}}}","length,height,price_in_dollars",none,none,point,"x=length,y=height,color=none,size=price_in_dollars",x desc
"How does the bubble plot chart, sorted by descending length of the product, represent the relationship between product length, height, and price in dollars?",add,bubble plot,Catalog_Contents,product_catalog,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A bubble plot chart showing the relationship between product price and dimensions.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/product_catalog_Catalog_Contents.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'length', 'type': 'quantitative', 'title': 'Length of the Product', 'sort': '-x'}, 'y': {'field': 'height', 'type': 'quantitative', 'title': 'Height of the Product'}, 'size': {'field': 'price_in_dollars', 'type': 'quantitative', 'title': 'Price in Dollars'}}}","length,height,price_in_dollars",none,none,point,"x=length,y=height,color=none,size=price_in_dollars",x desc
"Display a bubble plot where buildings are sorted by the number of floors in descending order, showing the relationship between 'Building Name', 'Number of Floors', and 'Size of Building'.",add,bubble plot,building,protein_institute,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of building heights and number of floors', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/protein_institute_building.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Name', 'type': 'nominal', 'title': 'Building Name', 'sort': '-y'}, 'y': {'field': 'Floors', 'type': 'quantitative', 'title': 'Number of Floors', 'scale': {'zero': False}}, 'size': {'field': 'Height_feet', 'type': 'quantitative', 'title': 'Size of Building'}}}","Name,Floors,Height_feet",none,none,point,"x=Name,y=Floors,color=none,size=Height_feet",x desc
"How are buildings sorted by the number of floors in descending order, and how does their height correlate with the number of floors in a bubble plot?",add,bubble plot,building,protein_institute,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of building heights and number of floors', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/protein_institute_building.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Name', 'type': 'nominal', 'title': 'Building Name', 'sort': '-y'}, 'y': {'field': 'Floors', 'type': 'quantitative', 'title': 'Number of Floors', 'scale': {'zero': False}}, 'size': {'field': 'Height_feet', 'type': 'quantitative', 'title': 'Size of Building'}}}","Name,Floors,Height_feet",none,none,point,"x=Name,y=Floors,color=none,size=Height_feet",x desc
"How does the relationship between player appearances and points scored, with bubble size indicating the number of tries scored, look when sorted by appearances in descending order?",add,bubble plot,player,sports_competition,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot showing the relationship between player appearances and points scored, with bubble size representing the number of tries scored.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/sports_competition_player.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Apps', 'type': 'quantitative', 'title': 'Appearances', 'sort': '-x'}, 'y': {'field': 'Points', 'type': 'quantitative', 'title': 'Points Scored'}, 'size': {'field': 'Tries', 'type': 'quantitative', 'title': 'Tries Scored'}}}","Apps,Points,Tries",none,none,point,"x=Apps,y=Points,color=none,size=Tries",x desc
"Create a bubble plot that maps 'Appearances' on the x-axis and 'Points Scored' on the y-axis, with bubble size representing 'Tries Scored', sorted by 'Appearances' in descending order.",add,bubble plot,player,sports_competition,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot showing the relationship between player appearances and points scored, with bubble size representing the number of tries scored.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/sports_competition_player.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Apps', 'type': 'quantitative', 'title': 'Appearances', 'sort': '-x'}, 'y': {'field': 'Points', 'type': 'quantitative', 'title': 'Points Scored'}, 'size': {'field': 'Tries', 'type': 'quantitative', 'title': 'Tries Scored'}}}","Apps,Points,Tries",none,none,point,"x=Apps,y=Points,color=none,size=Tries",x desc
"How does the relationship between player appearances and points scored, with bubble size representing the number of tries scored, look when sorted by appearances in descending order?",add,bubble plot,player,sports_competition,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot showing the relationship between player appearances and points scored, with bubble size representing the number of tries scored.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/sports_competition_player.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Apps', 'type': 'quantitative', 'title': 'Appearances', 'sort': '-x'}, 'y': {'field': 'Points', 'type': 'quantitative', 'title': 'Points Scored'}, 'size': {'field': 'Tries', 'type': 'quantitative', 'title': 'Tries Scored'}}}","Apps,Points,Tries",none,none,point,"x=Apps,y=Points,color=none,size=Tries",x desc
"Examine the correlation between 'Store Area Size' and 'Number of Product Categories' (limited to stores with fewer than 10,000 product categories), and analyze how 'Store Ranking' and 'Store Type' affect this relationship, presented in descending order of 'Number of Product Categories'.",add,bubble plot,store,store_product,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of store area size vs number of product categories with store type differentiation', 'transform': [{'filter': 'datum.Number_of_product_category < 10000'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/store_product_store.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Area_size', 'type': 'quantitative', 'title': 'Store Area Size'}, 'y': {'field': 'Number_of_product_category', 'type': 'quantitative', 'title': 'Number of Product Categories', 'sort': '-y'}, 'size': {'field': 'Ranking', 'type': 'quantitative', 'title': 'Store Ranking'}, 'color': {'field': 'Type', 'type': 'nominal', 'title': 'Store Type'}}}","Area_size,Number_of_product_category,Ranking,Type",Number_of_product_category < 10000,none,point,"x=Area_size,y=Number_of_product_category,color=Type,size=Ranking",y desc
"How is 'Store Area Size' correlated with 'Number of Product Categories' (sorted in descending order) for stores with less than 10,000 product categories, and how does 'Store Ranking' and 'Store Type' influence this relationship?",add,bubble plot,store,store_product,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of store area size vs number of product categories with store type differentiation', 'transform': [{'filter': 'datum.Number_of_product_category < 10000'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/store_product_store.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Area_size', 'type': 'quantitative', 'title': 'Store Area Size'}, 'y': {'field': 'Number_of_product_category', 'type': 'quantitative', 'title': 'Number of Product Categories', 'sort': '-y'}, 'size': {'field': 'Ranking', 'type': 'quantitative', 'title': 'Store Ranking'}, 'color': {'field': 'Type', 'type': 'nominal', 'title': 'Store Type'}}}","Area_size,Number_of_product_category,Ranking,Type",Number_of_product_category < 10000,none,point,"x=Area_size,y=Number_of_product_category,color=Type,size=Ranking",y desc
"Examine the correlation between 'Store Area Size' and 'Number of Product Categories' for stores with fewer than 10,000 product categories, sorted by the number of product categories in descending order. Additionally, analyze how 'Store Ranking' and 'Store Type' affect this correlation.",add,bubble plot,store,store_product,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of store area size vs number of product categories with store type differentiation', 'transform': [{'filter': 'datum.Number_of_product_category < 10000'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/store_product_store.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Area_size', 'type': 'quantitative', 'title': 'Store Area Size'}, 'y': {'field': 'Number_of_product_category', 'type': 'quantitative', 'title': 'Number of Product Categories', 'sort': '-y'}, 'size': {'field': 'Ranking', 'type': 'quantitative', 'title': 'Store Ranking'}, 'color': {'field': 'Type', 'type': 'nominal', 'title': 'Store Type'}}}","Area_size,Number_of_product_category,Ranking,Type",Number_of_product_category < 10000,none,point,"x=Area_size,y=Number_of_product_category,color=Type,size=Ranking",y desc
"Display a bubble plot of share transactions, where 'Transaction Amount' is on the x-axis, 'Share Count' on the y-axis, colored by 'Transaction Type', and sized by 'Size of Shares', sorted by 'Transaction Amount' in descending order.",add,bubble plot,TRANSACTIONS,tracking_share_transactions,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of share transactions showing the relationship between transaction amount and share count, colored by transaction type.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/tracking_share_transactions_TRANSACTIONS.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'amount_of_transaction', 'type': 'quantitative', 'title': 'Transaction Amount', 'sort': '-x'}, 'y': {'field': 'share_count', 'type': 'quantitative', 'title': 'Share Count'}, 'color': {'field': 'transaction_type_code', 'type': 'nominal', 'title': 'Transaction Type'}, 'size': {'field': 'share_count', 'type': 'quantitative', 'title': 'Size of Shares'}}}","amount_of_transaction,share_count,transaction_type_code",none,none,point,"x=amount_of_transaction,y=share_count,color=transaction_type_code,size=share_count",x desc
"How does the relationship between transaction amount and share count vary across different transaction types, with transactions sorted by decreasing amount, visualized in a bubble plot where the size represents the size of shares?",add,bubble plot,TRANSACTIONS,tracking_share_transactions,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of share transactions showing the relationship between transaction amount and share count, colored by transaction type.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/tracking_share_transactions_TRANSACTIONS.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'amount_of_transaction', 'type': 'quantitative', 'title': 'Transaction Amount', 'sort': '-x'}, 'y': {'field': 'share_count', 'type': 'quantitative', 'title': 'Share Count'}, 'color': {'field': 'transaction_type_code', 'type': 'nominal', 'title': 'Transaction Type'}, 'size': {'field': 'share_count', 'type': 'quantitative', 'title': 'Size of Shares'}}}","amount_of_transaction,share_count,transaction_type_code",none,none,point,"x=amount_of_transaction,y=share_count,color=transaction_type_code,size=share_count",x desc
"Display a bubble plot where the Transaction Amount is on the x-axis (sorted in descending order), Share Count on the y-axis, colored by Transaction Type, and sized by the Size of Shares.",add,bubble plot,TRANSACTIONS,tracking_share_transactions,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of share transactions showing the relationship between transaction amount and share count, colored by transaction type.', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/tracking_share_transactions_TRANSACTIONS.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'amount_of_transaction', 'type': 'quantitative', 'title': 'Transaction Amount', 'sort': '-x'}, 'y': {'field': 'share_count', 'type': 'quantitative', 'title': 'Share Count'}, 'color': {'field': 'transaction_type_code', 'type': 'nominal', 'title': 'Transaction Type'}, 'size': {'field': 'share_count', 'type': 'quantitative', 'title': 'Size of Shares'}}}","amount_of_transaction,share_count,transaction_type_code",none,none,point,"x=amount_of_transaction,y=share_count,color=transaction_type_code,size=share_count",x desc
"How is the bubble plot configured to display train stations with 'Annual Entry and Exit Counts' greater than 20 on the x-axis (sorted in descending order), 'Annual Interchanges' greater than 1.99 on the y-axis, 'Total Passengers' greater than 23862 as point size, and 'Location' as color?",add,bubble plot,station,train_station,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of train stations showing annual entry and exit counts versus annual interchanges, sized by total passengers.', 'transform': [{'filter': 'datum.Annual_entry_exit > 20 && datum.Annual_interchanges > 1.99 && datum.Total_Passengers > 23.862'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/train_station_station.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Annual_entry_exit', 'type': 'quantitative', 'title': 'Annual Entry and Exit Counts', 'sort': '-x'}, 'y': {'field': 'Annual_interchanges', 'type': 'quantitative', 'title': 'Annual Interchanges'}, 'size': {'field': 'Total_Passengers', 'type': 'quantitative', 'title': 'Total Passengers'}, 'color': {'field': 'Location', 'type': 'nominal', 'title': 'Location'}}}","Annual_entry_exit,Annual_interchanges,Total_Passengers,Location",Annual_entry_exit > 20 and Annual_interchanges > 1.99 and Total_Passengers > 23862,none,point,"x=Annual_entry_exit,y=Annual_interchanges,color=Location,size=Total_Passengers",x desc
"How does the bubble plot illustrate the relationship between 'Annual Entry and Exit Counts' and 'Annual Interchanges' for train stations, where 'Annual Entry and Exit Counts' are greater than 20, 'Annual Interchanges' are greater than 1.99, and 'Total Passengers' are greater than 23862, sorted by 'Annual Entry and Exit Counts' in descending order, and differentiated by 'Location'?",add,bubble plot,station,train_station,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Bubble plot of train stations showing annual entry and exit counts versus annual interchanges, sized by total passengers.', 'transform': [{'filter': 'datum.Annual_entry_exit > 20 && datum.Annual_interchanges > 1.99 && datum.Total_Passengers > 23.862'}], 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/train_station_station.csv'}, 'mark': {'type': 'point'}, 'encoding': {'x': {'field': 'Annual_entry_exit', 'type': 'quantitative', 'title': 'Annual Entry and Exit Counts', 'sort': '-x'}, 'y': {'field': 'Annual_interchanges', 'type': 'quantitative', 'title': 'Annual Interchanges'}, 'size': {'field': 'Total_Passengers', 'type': 'quantitative', 'title': 'Total Passengers'}, 'color': {'field': 'Location', 'type': 'nominal', 'title': 'Location'}}}","Annual_entry_exit,Annual_interchanges,Total_Passengers,Location",Annual_entry_exit > 20 and Annual_interchanges > 1.99 and Total_Passengers > 23862,none,point,"x=Annual_entry_exit,y=Annual_interchanges,color=Location,size=Total_Passengers",x desc
"How is the count of 'Type of Allergy' distributed, sorted in descending order by allergy type?",add,histogram,Allergy_type,allergy_1,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'Histogram of Allergy Types', 'data': {'url': 'https://raw.githubusercontent.com/gzu-zxc/visual_coda/main/spider_csv/allergy_1_Allergy_type.csv'}, 'mark': {'type': 'bar'}, 'encoding': {'x': {'field': 'AllergyType', 'type': 'nominal', 'sort': '-x'}, 'y': {'aggregate': 'count', 'type': 'quantitative'}}}",AllergyType,none,count AllergyType,bar,"x=AllergyType,y=count,color=count AllergyType,size=none",x desc
